ts_name,fhat,PSD,freq,freq_approx
H1,446942.0,285367359.0914286,0.0,0.0
H1,15866.83924973614,359652.26825281046,1.4285714285714284,1.4581902193577831
H1,10669.570566699593,162628.19439683182,2.8571428571428568,2.8655811647971006
H1,6502.6941115737845,60407.18672670911,4.285714285714285,4.297855736881229
H1,5302.624582351747,40168.32494480149,5.7142857142857135,5.759585080397799
H1,3742.332611777595,20007.219110248738,7.142857142857142,7.2142420418040425
H1,6193.620757498676,54801.340125312105,8.57142857142857,8.6383404818324
H1,7767.619075617121,86194.1515769871,9.999999999999998,10.113232125147789
H1,7607.129448738581,82669.16921409393,11.428571428571427,11.576297578257487
H1,1494.1047103582007,3189.0698364493755,12.857142857142856,12.955955201361569
H1,2815.4532322360847,11323.967004155167,14.285714285714285,14.500039761845375
H1,3258.0553089968275,15164.177709260592,15.714285714285712,15.866787214192382
H1,4686.793262671361,31380.044410030943,17.14285714285714,17.362361802821603
H1,333.7189400569913,159.0976156468025,18.57142857142857,18.575848279531588
H1,4325.877475785126,26733.165622150136,19.999999999999996,20.326774051338106
H1,2276.5584198816214,7403.883198762721,21.428571428571427,21.747448594730564
H1,1780.5773832752093,4529.222596901703,22.857142857142854,23.267416619378128
H1,4771.264352123004,32521.376454056783,24.28571428571428,24.339299144006137
H1,3333.9440785848583,15878.833027330056,25.71428571428571,26.04041623275673
H1,3122.6460073365956,13929.88298162169,27.14285714285714,27.240045205346878
H1,3126.426943077234,13963.636329141795,28.57142857142857,29.14390061724626
H1,2664.5138118309474,10142.334076339836,29.999999999999996,30.486500798527437
H1,1812.0139494915977,4690.563647360198,31.428571428571423,31.890951837401424
H1,1791.5797051222587,4585.368342579942,32.857142857142854,33.36010307698488
H1,2011.1803647895074,5778.352085306937,34.28571428571428,34.89693512383224
H1,3489.678776586089,17396.939948221978,35.71428571428571,36.50456589497507
H1,5670.037566082553,45927.60857255338,37.14285714285714,37.33594424783945
H1,6262.582992391433,56028.49390941491,38.57142857142857,39.05593520491092
H1,9204.530135858506,121033.39288846772,39.99999999999999,40.85516264446608
H1,68065.75513549945,6618495.745951099,41.42857142857142,41.785624272830155
H1,17326.9645775649,428891.0021031269,42.857142857142854,43.71060293167345
H1,5080.564448928082,36874.47874244558,44.28571428571428,44.70609618510902
H1,2853.2450327540596,11630.010309908164,45.71428571428571,45.72426143918445
H1,3383.6188679257793,16355.53806197619,47.14285714285714,47.830685095490395
H1,3300.402332702234,15560.93651100907,48.57142857142856,48.92001173768277
H1,5113.515532637824,37354.34443218327,49.99999999999999,50.03414740217994
H1,2580.7243320001894,9514.482968254033,51.42857142857142,52.33911873236159
H1,1499.651306635123,3212.791487846331,52.85714285714285,53.531123328369446
H1,746.4692439704397,796.0233317054284,54.28571428571428,54.75027540013386
H1,1894.4173749403033,5126.881700679585,55.71428571428571,55.99719322164665
H1,2307.7164679288376,7607.936137642784,57.14285714285714,57.27250914786745
H1,3085.1249067185936,13597.13670007916,58.57142857142856,58.57686993541262
H1,1212.2570838503154,2099.3817676361014,59.99999999999999,61.275387104649376
H1,2272.293822472884,7376.170308069188,61.42857142857142,62.67091199730947
H1,1833.0062295843577,4799.87405385009,62.85714285714285,64.09821946724985
H1,129.09124641799878,23.8064998596464,64.28571428571428,65.55803335123188
H1,2105.056682750701,6330.376625133407,65.71428571428571,67.05109397113847
